datetime,pTC
20250715_0000,0
20250715_0010,0
20250715_0020,0
20250715_0030,0
20250715_0040,0
20250715_0050,0
20250715_0100,0
20250715_0110,0
20250715_0120,0
20250715_0130,0
20250715_0140,0
20250715_0150,0
20250715_0200,0
20250715_0210,0
20250715_0220,0
20250715_0230,0
20250715_0240,0
20250715_0250,0
20250715_0300,0
20250715_0310,0
20250715_0320,0
20250715_0330,0
20250715_0340,0
20250715_0350,0
20250715_0400,0
20250715_0410,0
20250715_0420,0
20250715_0430,0
20250715_0440,0
20250715_0450,0
20250715_0500,0
20250715_0510,0
20250715_0520,0
20250715_0530,0
20250715_0540,0
20250715_0550,0
20250715_0600,0
20250715_0610,0
20250715_0620,0
20250715_0630,0
20250715_0640,0
20250715_0650,0
20250715_0700,0
20250715_0710,0
20250715_0720,0
20250715_0730,0
20250715_0740,1.609339132
20250715_0750,3.718239407
20250715_0800,4.977929637
20250715_0810,0
20250715_0820,0.162220173
20250715_0830,0
20250715_0840,0
20250715_0850,0
20250715_0900,1.069330308
20250715_0910,0.162220173
20250715_0920,0.086038559
20250715_0930,0.07591537
20250715_0940,0
20250715_0950,0
20250715_1000,1.291320721
20250715_1010,4.633456169
20250715_1020,0
20250715_1030,9.478138475
20250715_1040,13.41124965
20250715_1050,12.24723909
20250715_1100,10.81037703
20250715_1110,4.089704006
20250715_1120,0.906386164
20250715_1130,9.763432829
20250715_1140,4.178948098
20250715_1150,8.028663647
20250715_1200,6.708454454
20250715_1210,13.23988782
20250715_1220,19.98820011
20250715_1230,30.39173771
20250715_1240,17.30976125
20250715_1250,18.50633862
20250715_1300,11.2915272
20250715_1310,7.671431764
20250715_1320,0.355478118
20250715_1330,0
20250715_1340,1.088084978
20250715_1350,0
20250715_1400,7.455786108
20250715_1410,19.93207404
20250715_1420,22.13107355
20250715_1430,26.93589353
20250715_1440,28.55856412
20250715_1450,32.36762195
20250715_1500,37.91084167
20250715_1510,28.68978297
20250715_1520,37.37568276
20250715_1530,43.7088049
20250715_1540,47.75387355
20250715_1550,43.06681644
20250715_1600,58.22116189
20250715_1610,50.58973335
20250715_1620,50.69336942
20250715_1630,46.60700844
20250715_1640,47.62480049
20250715_1650,54.75780753
20250715_1700,51.0524947
20250715_1710,60.83270317
20250715_1720,53.7109676
20250715_1730,59.32217553
20250715_1740,48.0094602
20250715_1750,55.57775208
20250715_1800,56.75921497
20250715_1810,42.53210683
20250715_1820,49.37645612
20250715_1830,45.98325195
20250715_1840,44.00243772
20250715_1850,25.70734033
20250715_1900,22.17021291
20250715_1910,27.85400205
20250715_1920,27.76141128
20250715_1930,30.30826702
20250715_1940,35.27052588
20250715_1950,32.12043693
20250715_2000,26.46475921
20250715_2010,16.6873742
20250715_2020,4.092515154
20250715_2030,0
20250715_2040,0
20250715_2050,0
20250715_2100,0
20250715_2110,0
20250715_2120,0
20250715_2130,0
20250715_2140,0
20250715_2150,0
20250715_2200,0
20250715_2210,0
20250715_2220,0
20250715_2230,0
20250715_2240,0
20250715_2250,0
20250715_2300,0.104628159
20250715_2310,0
20250715_2320,0
20250715_2330,0
20250715_2340,0
20250715_2350,0
